Period,Maximum breadth,Basibregmatic height,Basialveolar length,Nasal height
Early predynastic,131,138,89,49
Early predynastic,125,131,92,48
Early predynastic,131,132,99,50
Early predynastic,119,132,96,44
Early predynastic,136,143,100,54
Early predynastic,138,137,89,56
Early predynastic,139,130,108,48
Early predynastic,125,136,93,48
Early predynastic,131,134,102,51
Early predynastic,134,134,99,51
Early predynastic,129,138,95,50
Early predynastic,134,121,95,53
Early predynastic,126,129,109,51
Early predynastic,132,136,100,50
Early predynastic,141,140,100,51
Early predynastic,131,134,97,54
Early predynastic,135,137,103,50
Early predynastic,132,133,93,53
Early predynastic,139,136,96,50
Early predynastic,132,131,101,49
Early predynastic,126,133,102,51
Early predynastic,135,135,103,47
Early predynastic,134,124,93,53
Early predynastic,128,134,103,50
Early predynastic,130,130,104,49
Early predynastic,138,135,100,55
Early predynastic,128,132,93,53
Early predynastic,127,129,106,48
Early predynastic,131,136,114,54
Early predynastic,124,138,101,46
Late predynastic,124,138,101,48
Late predynastic,133,134,97,48
Late predynastic,138,134,98,45
Late predynastic,148,129,104,51
Late predynastic,126,124,95,45
Late predynastic,135,136,98,52
Late predynastic,132,145,100,54
Late predynastic,133,130,102,48
Late predynastic,131,134,96,50
Late predynastic,133,125,94,46
Late predynastic,133,136,103,53
Late predynastic,131,139,98,51
Late predynastic,131,136,99,56
Late predynastic,138,134,98,49
Late predynastic,130,136,104,53
Late predynastic,131,128,98,45
Late predynastic,138,129,107,53
Late predynastic,123,131,101,51
Late predynastic,130,129,105,47
Late predynastic,134,130,93,54
Late predynastic,137,136,106,49
Late predynastic,126,131,100,48
Late predynastic,135,136,97,52
Late predynastic,129,126,91,50
Late predynastic,134,139,101,49
Late predynastic,131,134,90,53
Late predynastic,132,130,104,50
Late predynastic,130,132,93,52
Late predynastic,135,132,98,54
Late predynastic,130,128,101,51
12th and 13th Dynasty,137,141,96,52
12th and 13th Dynasty,129,133,93,47
12th and 13th Dynasty,132,138,87,48
12th and 13th Dynasty,130,134,106,50
12th and 13th Dynasty,134,134,96,45
12th and 13th Dynasty,140,133,98,50
12th and 13th Dynasty,138,138,95,47
12th and 13th Dynasty,136,145,99,55
12th and 13th Dynasty,136,131,92,46
12th and 13th Dynasty,126,136,95,56
12th and 13th Dynasty,137,129,100,53
12th and 13th Dynasty,137,139,97,50
12th and 13th Dynasty,136,126,101,50
12th and 13th Dynasty,137,133,90,49
12th and 13th Dynasty,129,142,104,47
12th and 13th Dynasty,135,138,102,55
12th and 13th Dynasty,129,135,92,50
12th and 13th Dynasty,134,125,90,60
12th and 13th Dynasty,138,134,96,51
12th and 13th Dynasty,136,135,94,53
12th and 13th Dynasty,132,130,91,52
12th and 13th Dynasty,133,131,100,50
12th and 13th Dynasty,138,137,94,51
12th and 13th Dynasty,130,127,99,45
12th and 13th Dynasty,136,133,91,49
12th and 13th Dynasty,134,123,95,52
12th and 13th Dynasty,136,137,101,54
12th and 13th Dynasty,133,131,96,49
12th and 13th Dynasty,138,133,100,55
12th and 13th Dynasty,138,133,91,46
Ptolemaic period,137,134,107,54
Ptolemaic period,141,128,95,53
Ptolemaic period,141,130,87,49
Ptolemaic period,135,131,99,51
Ptolemaic period,133,120,91,46
Ptolemaic period,131,135,90,50
Ptolemaic period,140,137,94,60
Ptolemaic period,139,130,90,48
Ptolemaic period,140,134,90,51
Ptolemaic period,138,140,100,52
Ptolemaic period,132,133,90,53
Ptolemaic period,134,134,97,54
Ptolemaic period,135,135,99,50
Ptolemaic period,133,136,95,52
Ptolemaic period,136,130,99,55
Ptolemaic period,134,137,93,52
Ptolemaic period,131,141,99,55
Ptolemaic period,129,135,95,47
Ptolemaic period,136,128,93,54
Ptolemaic period,131,125,88,48
Ptolemaic period,139,130,94,53
Ptolemaic period,144,124,86,50
Ptolemaic period,141,131,97,53
Ptolemaic period,130,131,98,53
Ptolemaic period,133,128,92,51
Ptolemaic period,138,126,97,54
Ptolemaic period,131,142,95,53
Ptolemaic period,136,138,94,55
Ptolemaic period,132,136,92,52
Ptolemaic period,135,130,100,51
Roman period,137,123,91,50
Roman period,136,131,95,49
Roman period,128,126,91,57
Roman period,130,134,92,52
Roman period,138,127,86,47
Roman period,126,138,101,52
Roman period,136,138,97,58
Roman period,126,126,92,45
Roman period,132,132,99,55
Roman period,139,135,92,54
Roman period,143,120,95,51
Roman period,141,136,101,54
Roman period,135,135,95,56
Roman period,137,134,93,53
Roman period,142,135,96,52
Roman period,139,134,95,47
Roman period,138,125,99,51
Roman period,137,135,96,54
Roman period,133,125,92,50
Roman period,145,129,89,47
Roman period,138,136,92,46
Roman period,131,129,97,44
Roman period,143,126,88,54
Roman period,134,124,91,55
Roman period,132,127,97,52
Roman period,137,125,85,57
Roman period,129,128,81,52
Roman period,140,135,103,48
Roman period,147,129,87,48
Roman period,136,133,97,51
